X,Y
11.55275725231278,6.8779622456955778
7.5152824294836416,4.6566664874268522
9.6068964139110253,6.5090179075909287
10.173901139576495,6.1498030558758048
5.0575505007383308,3.1641612775786125
10.545494169103122,7.0348520545263042
4.2482794141900708,3.4617602577312594
9.1390549738446598,5.5359955516199735
11.062062036731698,6.5663825328156769
5.2570163323624017,3.2334877139138172
9.5225811329270051,4.6358384778472903
9.268484552953927,5.4207749335246209
11.704910639382547,6.7725865095695035
9.2579226010385618,6.0370691011755353
6.9853452917024388,3.5136394725225539
6.0491456287436067,2.2480966223790917
6.404504014485406,4.3325716427489001
8.5421194515596639,5.3092019332215292
9.0032913226300142,6.820043409026475
11.796669458486727,7.9913259867287483
