logFold       refID
-0.22314355131421 1
0.336472236621213 1
-0.356674943938732 1
-0.22314355131421 1
0.182321556793955 1
-0.105360515657826 1
-2.30258509299405 1
-0.356674943938732 1
-0.22314355131421 1
-0.693147180559945 1
1.06471073699243 2
-1.6094379124341 2
0.693147180559945 2
0.182321556793955 2
-0.105360515657826 2
0.470003629245736 2
-0.356674943938732 2
-0.510825623765991 2
0.262364264467491 2
-0.916290731874155 2
-0.22314355131421 3
-0.916290731874155 3
-1.20397280432594 3
-0.916290731874155 3
-1.6094379124341 3
-0.105360515657826 3
-1.6094379124341 3
0.182321556793955 3
-1.6094379124341 3
-0.916290731874155 3
-0.356674943938732 4
-0.916290731874155 4
-0.356674943938732 4
0.641853886172395 4
-0.105360515657826 4
-0.105360515657826 4
-0.356674943938732 4
-0.105360515657826 4
-0.916290731874155 4
0.182321556793955 4
-0.510825623765991 5
-0.510825623765991 5
-0.22314355131421 5
-1.6094379124341 5
-1.20397280432594 5
-0.510825623765991 5
0.470003629245736 5
0.095310179804325 5
0.336472236621213 5
-1.20397280432594 5
