"MS.SubClass","MS.Zoning","Lot.Frontage","Lot.Area","Street","Alley","Lot.Shape","Land.Contour","Utilities","Lot.Config","Land.Slope","Neighborhood","Condition.1","Condition.2","Bldg.Type","House.Style","Overall.Qual","Overall.Cond","Year.Built","Year.Remod.Add","Roof.Style","Roof.Matl","Exterior.1st","Exterior.2nd","Mas.Vnr.Type","Mas.Vnr.Area","Exter.Qual","Exter.Cond","Foundation","Bsmt.Qual","Bsmt.Cond","Bsmt.Exposure","BsmtFin.Type.1","BsmtFin.SF.1","BsmtFin.Type.2","BsmtFin.SF.2","Bsmt.Unf.SF","Total.Bsmt.SF","Heating","Heating.QC","Central.Air","Electrical","X1st.Flr.SF","X2nd.Flr.SF","Low.Qual.Fin.SF","Gr.Liv.Area","Bsmt.Full.Bath","Bsmt.Half.Bath","Full.Bath","Half.Bath","Bedroom.AbvGr","Kitchen.AbvGr","Kitchen.Qual","TotRms.AbvGrd","Functional","Fireplaces","Fireplace.Qu","Garage.Type","Garage.Yr.Blt","Garage.Finish","Garage.Cars","Garage.Area","Garage.Qual","Garage.Cond","Paved.Drive","Wood.Deck.SF","Open.Porch.SF","Enclosed.Porch","X3Ssn.Porch","Screen.Porch","Pool.Area","Pool.QC","Fence","Misc.Feature","Misc.Val","Mo.Sold","Yr.Sold","Sale.Type","Sale.Condition","SalePrice"
120,"RL",34,3901,"Pave",None,"Reg","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","Twnhs","1Story",6,5,2005,2006,"Gable","CompShg","VinylSd","VinylSd","Stone",182,"Gd","TA","PConc","Gd","TA","Av","ALQ",866,"Unf",0,436,1302,"GasA","Ex","Y","SBrkr",1302,0,0,1302,1,0,1,1,1,1,"Gd",5,"Typ",1,"Gd","Attchd",2005,"RFn",2,631,"TA","TA","Y",110,50,0,0,0,0,None,None,None,0,8,2007,"New","Partial",204000
20,"RL",70,8400,"Pave",None,"Reg","Lvl","AllPub","Corner","Gtl","Nonemes","Norm","Norm","1Fam","1Story",4,5,1970,1970,"Gable","CompShg","Plywood","Plywood","None",0,"TA","TA","CBlock","TA","TA","No","ALQ",804,"Rec",78,0,882,"GasA","TA","Y","SBrkr",882,0,0,882,1,0,1,0,2,1,"TA",4,"Typ",0,None,"Attchd",1970,"Fin",2,525,"TA","TA","Y",240,0,0,0,0,0,None,"MnPrv",None,0,4,2010,"WD ","Normal",126000
85,"RL",60,7200,"Pave",None,"Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","SFoyer",5,8,1972,2003,"Gable","CompShg","WdShing","HdBoard","None",0,"TA","Gd","CBlock","Gd","TA","Av","GLQ",660,"Unf",0,108,768,"GasA","Gd","Y","SBrkr",768,0,0,768,0,1,1,0,2,1,"TA",5,"Typ",0,None,"Detchd",1974,"Fin",1,396,"TA","TA","Y",192,0,0,0,0,0,None,"MnPrv",None,0,4,2009,"WD ","Normal",133900
90,"RL",64,7018,"Pave",None,"Reg","Bnk","AllPub","Inside","Gtl","SawyerW","Norm","Norm","Duplex","1Story",5,5,1979,1979,"Gable","CompShg","Plywood","Plywood","None",0,"TA","TA","Slab",None,None,None,None,0,None,0,0,0,"GasA","TA","Y","SBrkr",1535,0,0,1535,0,0,2,0,4,2,"TA",8,"Typ",0,None,"Attchd",1979,"Unf",2,400,"TA","TA","Y",0,0,0,0,0,0,None,None,None,0,6,2009,"WD ","Alloca",118858
60,"RL",111,16259,"Pave",None,"Reg","Lvl","AllPub","Corner","Gtl","NridgHt","Norm","Norm","1Fam","2Story",9,5,2006,2006,"Gable","CompShg","VinylSd","VinylSd","Stone",370,"TA","TA","PConc","Ex","Gd","Av","Unf",0,"Unf",0,1249,1249,"GasA","Ex","Y","SBrkr",1249,1347,0,2596,0,0,3,1,4,1,"Gd",9,"Typ",0,None,"Attchd",2006,"RFn",3,840,"TA","TA","Y",240,154,0,0,0,0,None,None,None,0,9,2006,"New","Partial",342643
20,"RL",50,4280,"Pave",None,"IR1","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story",4,9,1946,2001,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","Gd","CBlock","Fa","TA","No","Unf",0,"Unf",0,560,560,"GasA","Ex","Y","FuseA",704,0,0,704,0,1,1,0,2,1,"Fa",4,"Typ",0,None,"CarPort",1946,"Unf",1,220,"TA","TA","Y",0,0,24,0,0,0,None,None,None,0,9,2009,"WD ","Normal",88750
20,"RL",155,20064,"Pave",None,"IR1","Low","AllPub","Inside","Sev","ClearCr","Norm","Norm","1Fam","1Story",8,6,1976,1976,"Shed","WdShngl","Wd Sdng","Wd Sdng","None",0,"Gd","TA","CBlock","Gd","Gd","Gd","LwQ",51,"GLQ",915,0,966,"GasA","Ex","Y","SBrkr",1743,0,0,1743,2,0,0,1,0,1,"Gd",5,"Typ",2,"Fa","Attchd",1976,"Fin",2,529,"TA","TA","Y",646,0,0,0,0,0,None,None,None,0,5,2007,"WD ","Normal",279000
20,"RM",60,7200,"Pave","Grvl","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","1Story",4,5,1950,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","TA","No","Unf",0,"Unf",0,576,576,"GasA","Ex","Y","SBrkr",864,0,0,864,0,0,1,0,2,1,"TA",5,"Typ",0,None,"Detchd",1952,"RFn",1,528,"TA","TA","Y",0,0,0,0,115,0,None,None,None,0,8,2006,"COD","Normal",105000
20,"RL",70,9100,"Pave",None,"Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",7,5,2000,2000,"Gable","CompShg","VinylSd","VinylSd","BrkFace",244,"Gd","TA","PConc","Gd","TA","Av","GLQ",1400,"Unf",0,125,1525,"GasA","Ex","Y","SBrkr",1525,0,0,1525,1,0,2,0,3,1,"Gd",6,"Typ",0,None,"Attchd",2000,"RFn",2,541,"TA","TA","Y",219,36,0,0,0,0,None,None,None,0,9,2006,"WD ","Normal",235000
70,"C (all)",None,6449,"Pave",None,"IR1","Lvl","AllPub","Inside","Gtl","SWISU","Norm","Norm","1Fam","2Story",4,1,1907,1950,"Gambrel","CompShg","Wd Sdng","Stucco","None",0,"TA","TA","CBlock","TA","TA","No","Rec",73,"Unf",0,634,707,"GasW","TA","N","SBrkr",942,942,0,1884,0,0,1,1,4,1,"TA",7,"Typ",0,None,None,None,None,0,0,None,None,"N",0,0,239,0,0,0,None,None,None,0,3,2010,"WD ","Abnorml",93369
