STATE 	Y 	X1 	X2 	X3 	Region  
ME 	61	1704 	388 	399 	1  
NH 	68	1885 	372 	598 	1  
VT 	72 	1745 	397 	370 	1  
MA 	72 	2394 	358 	868 	1  
RI 	62 	1966 	357 	899 	1  
CT 	91 	2817 	362 	690 	1  
NY 	104 	2685 	341 	728 	1  
NJ 	99 	2521 	353 	826 	1  
PA 	70 	2127 	352 	656 	1  
OH 	82 	2184 	387 	674 	2  
IN 	84 	1990 	392 	568 	2  
IL 	84 	2435 	366 	759 	2  
MI 	104 	2099 	403 	650 	2  
WI 	84 	1936 	393 	621 	2  
MN 	103 	1916 	402 	610 	2  
IA 	86 	1863 	385 	522 	2  
MO 	69 	2037 	364 	613 	2  
ND 	94 	1697 	429 	351 	2  
SD 	79 	1644 	411 	390 	2  
NB 	80 	1894 	379 	520 	2  
KS 	98 	2001 	380 	564 	2  
DE 	124 	2760 	388 	326 	3  
MD 	92 	2221 	393 	562 	3  
VA 	67 	1674 	402 	487 	3  
WV 	66 	1509 	405 	358 	3  
NC 	65 	1384 	423 	362 	3  
SC 	57 	1218 	453 	343 	3  
GA 	60 	1487 	420 	498 	3  
FL 	74 	1876 	334 	628 	3  
KY 	49 	1397 	594 	377 	3  
TN 	60 	1439 	346 	457 	3  
AL 	59 	1359 	637 	517 	3  
MS 	68 	1053 	448 	362 	3  
AR 	56 	1225 	403 	416 	3  
LA 	72 	1576 	433 	562 	3  
OK 	80 	1740 	378 	610 	3  
TX 	79 	1814 	409 	727 	3  
MT 	95 	1920 	412 	463 	4  
ID 	79 	1701 	418 	414 	4  
WY 	142 	2088 	415 	568 	4  
CO 	108 	2047 	399 	621 	4  
NM 	94 	1838 	458 	618 	4  
AZ 	107 	1932 	425 	699 	4  
UT 	109 	1753 	494 	665 	4  
NV 	114 	2569 	372 	663 	4  
WA 	112 	2160 	386 	584 	4  
OR 	105 	2006 	382 	534 	4  
CA 	129 	2557 	373 	717 	4  
AK 	107 	1900 	434 	379 	4 
HI 	77 	1852 	431 	693 	4  
